RideID;RideAddressID;Coordenadas Inicio;Coordenadas Fim;Distancia_km;Duracao_min;ProductID;Price;ProductID_normalizado;CategoriaFinal
1183242;2334361;-23.9626275,-46.3798768;-23.9995852,-46.4044636;7.68;16.62;Bag;20.0;bag;Comfort
1183244;2334365;-23.2171344,-46.8667113;-23.2078352,-46.8592323;1.85;5.1;Comfort;9.5;comfort;Comfort
1183245;2334367;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183245;2334367;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Bag;56.5;bag;Comfort
1183246;2334369;-20.4972019,-54.647267;-20.4795462,-54.6103764;5.82;13.47;Comfort;16.5;comfort;Comfort
1183247;2334371;-23.501597,-46.446407;-23.5627779,-46.5915855;20.2;43.43;Comfort;74.5;comfort;Comfort
1183247;2334371;-23.501597,-46.446407;-23.5627779,-46.5915855;20.2;43.43;Bag;70.0;bag;Comfort
1183248;2334373;-23.2171344,-46.8667113;-23.2078352,-46.8592323;1.85;5.1;Comfort;9.5;comfort;Comfort
1183249;2334375;-23.487116,-46.64779;-23.5042667,-46.6877784;6.71;15.1;Bag;40.0;bag;Comfort
1183250;2334377;-22.689376,-43.254498999999996;-22.7769786,-43.3614014;26.31;30.22;Comfort;117.5;comfort;Comfort
1183251;2334379;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183252;2334381;-15.8157808,-48.0908627;-15.8212119,-48.0615551;5.69;13.72;Bag;30.5;bag;Comfort
1183253;2334383;-22.8818491,-43.07927249999999;-22.8206436,-42.99990640000001;12.22;15.05;Comfort;29.5;comfort;Comfort
1183254;2334385;-15.8157808,-48.0908627;-15.8212119,-48.0615551;5.69;13.72;Bag;30.5;bag;Comfort
1183255;2334387;-23.186458500000004,-45.886088799999996;-23.1898339,-45.8738976;2.54;9.2;Comfort;9.5;comfort;Comfort
1183256;2334389;-23.9624233,-46.25465759999999;-23.8373074,-46.1321725;33.89;34.37;Comfort;68.5;comfort;Comfort
1183257;2334391;-23.486895,-46.6479623;-23.5042667,-46.6877784;6.89;15.42;Bag;41.0;bag;Comfort
1183258;2334393;-25.5522404,-49.2445522;-25.4431072,-49.2734105;14.75;33.52;Comfort;41.0;comfort;Comfort
1183259;2334395;-23.6754917,-46.6526757;-23.4753983,-46.77725979999999;34.77;48.57;Comfort;108.0;comfort;Comfort
